shared-library,"/usr/local/bin/node",0x00002550,0x0020c7b6
shared-library,"/usr/lib/libssl.0.9.7.dylib",0x90b7d8c0,0x90b9df42
shared-library,"/usr/lib/libcrypto.0.9.7.dylib",0x9640e600,0x964a8c92
shared-library,"/usr/lib/libSystem.B.dylib",0x9728e0a0,0x973c26d0
shared-library,"/usr/lib/libstdc++.6.dylib",0x951b0fb4,0x951f8005
shared-library,"/usr/lib/libgcc_s.1.dylib",0x901b5780,0x901bc71e
shared-library,"/usr/lib/system/libmathCommon.A.dylib",0x976062b0,0x976071e7
profiler,"begin",1
tick,0x972e5c17,0xbfffed30,0x0,4
code-creation,Builtin,0x587b00,386,"A builtin from the snapshot"
code-creation,LoadIC,0x587da0,51,"A load IC from the snapshot"
code-creation,Builtin,0x588ae0,97,"A builtin from the snapshot"
code-creation,StoreIC,0x588b60,52,"A store IC from the snapshot"
code-creation,Stub,0x589020,206,"CallFunction"
code-creation,KeyedLoadIC,0x5896a0,51,"A keyed load IC from the snapshot"
code-creation,KeyedStoreIC,0x58ad20,52,"A keyed store IC from the snapshot"
code-creation,Builtin,0x590ea0,313,"A builtin from the snapshot"
code-creation,Builtin,0x5976c0,45,"A builtin from the snapshot"
code-creation,Builtin,0x597700,45,"A builtin from the snapshot"
code-creation,Builtin,0x597740,45,"A builtin from the snapshot"
code-creation,Builtin,0x597780,45,"A builtin from the snapshot"
code-creation,Builtin,0x5977c0,45,"A builtin from the snapshot"
code-creation,Builtin,0x597800,45,"A builtin from the snapshot"
code-creation,Builtin,0x597840,45,"A builtin from the snapshot"
code-creation,Builtin,0x597880,45,"A builtin from the snapshot"
code-creation,Builtin,0x5978c0,45,"A builtin from the snapshot"
code-creation,Builtin,0x597900,45,"A builtin from the snapshot"
code-creation,Builtin,0x597940,48,"A builtin from the snapshot"
code-creation,Builtin,0x597980,45,"A builtin from the snapshot"
code-creation,Builtin,0x5979c0,48,"A builtin from the snapshot"
code-creation,Builtin,0x597a00,45,"A builtin from the snapshot"
code-creation,Builtin,0x597a40,45,"A builtin from the snapshot"
code-creation,Builtin,0x597a80,359,"A builtin from the snapshot"
code-creation,Builtin,0x597c00,125,"A builtin from the snapshot"
code-creation,Builtin,0x597ca0,95,"A builtin from the snapshot"
code-creation,Builtin,0x597d20,51,"A builtin from the snapshot"
code-creation,Builtin,0x597d60,51,"A builtin from the snapshot"
code-creation,Builtin,0x597da0,52,"A builtin from the snapshot"
code-creation,Builtin,0x597de0,52,"A builtin from the snapshot"
code-creation,LoadIC,0x597e20,51,"A load IC from the snapshot"
code-creation,LoadIC,0x597e60,335,"A load IC from the snapshot"
code-creation,LoadIC,0x597fc0,62,"A load IC from the snapshot"
code-creation,LoadIC,0x598100,109,"A load IC from the snapshot"
code-creation,LoadIC,0x598180,113,"A load IC from the snapshot"
code-creation,LoadIC,0x598200,201,"A load IC from the snapshot"
code-creation,KeyedLoadIC,0x5982e0,51,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,0x598320,643,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,0x5985c0,285,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,0x598700,139,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,0x5987a0,139,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,0x598840,139,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,0x5988e0,139,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,0x598980,196,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,0x598a60,199,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,0x598b40,174,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,0x598c00,109,"A keyed load IC from the snapshot"
code-creation,StoreIC,0x598c80,117,"A store IC from the snapshot"
code-creation,StoreIC,0x598d00,223,"A store IC from the snapshot"
code-creation,KeyedStoreIC,0x598e00,267,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,0x598f20,189,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,0x599000,189,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,0x5990e0,193,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,0x5991c0,193,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,0x5992a0,219,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,0x5993a0,224,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,0x5994a0,172,"A keyed store IC from the snapshot"
code-creation,Builtin,0x599560,291,"A builtin from the snapshot"
code-creation,Builtin,0x5996a0,394,"A builtin from the snapshot"
code-creation,Builtin,0x599860,401,"A builtin from the snapshot"
code-creation,Builtin,0x599a20,122,"A builtin from the snapshot"
code-creation,Builtin,0x599ac0,122,"A builtin from the snapshot"
code-creation,LoadIC,0x599b60,146,"A load IC from the snapshot"
code-creation,KeyedLoadIC,0x599c20,146,"A keyed load IC from the snapshot"
code-creation,StoreIC,0x599ce0,158,"A store IC from the snapshot"
code-creation,KeyedStoreIC,0x599dc0,158,"A keyed store IC from the snapshot"
code-creation,Builtin,0x599ea0,33,"A builtin from the snapshot"
code-creation,Builtin,0x599ee0,52,"A builtin from the snapshot"
code-creation,Stub,0x599f20,91,"CallFunction"
code-creation,Script,0x5879c0,214,"native json.js"
code-creation,LazyCompile,0x587ca0,162,"SetupJSON native json.js:261"
code-creation,Script,0x588100,632,"native string.js"
code-creation,LazyCompile,0x588460,991,"SetupString native string.js:959"
code-creation,LazyCompile,0x588940,312," native string.js:36"
code-creation,Script,0x588ba0,349,"native regexp.js"
code-creation,LazyCompile,0x588d80,247,"RegExpConstructor native regexp.js:84"
code-creation,LazyCompile,0x588ee0,198,"RegExpCache native regexp.js:124"
code-creation,LazyCompile,0x589100,136,"RegExpMakeCaptureGetter native regexp.js:409"
code-creation,LazyCompile,0x5891e0,1017," native regexp.js:410"
code-creation,LazyCompile,0x58a100,2059,"SetupRegExp native regexp.js:447"
code-creation,LazyCompile,0x58ab20,164,"RegExpGetInput native regexp.js:466"
code-creation,LazyCompile,0x58ac20,156,"RegExpSetInput native regexp.js:470"
code-creation,LazyCompile,0x58ad60,71,"RegExpGetMultiline native regexp.js:491"
code-creation,LazyCompile,0x58ade0,215,"RegExpSetMultiline native regexp.js:492"
code-creation,LazyCompile,0x58af00,70,"NoOpSetter native regexp.js:500"
code-creation,Script,0x58af80,1806,"native v8natives.js"
code-creation,LazyCompile,0x58b8e0,903,"InstallFunctions native v8natives.js:49"
code-creation,LazyCompile,0x58bd20,158,"InstallFunctionsOnHiddenPrototype native v8natives.js:67"
code-creation,LazyCompile,0x58be20,254,"isFinite native v8natives.js:85"
code-creation,LazyCompile,0x58c100,381,"SetupGlobal native v8natives.js:157"
code-creation,LazyCompile,0x58c300,124,"hasOwnProperty native v8natives.js:221"
code-creation,LazyCompile,0x58c3c0,338,"__defineGetter__ native v8natives.js:242"
code-creation,LazyCompile,0x58c580,338,"__defineSetter__ native v8natives.js:261"
code-creation,LazyCompile,0x58c740,528,"SetupObject native v8natives.js:724"
code-creation,LazyCompile,0x58ca00,196,"SetupBoolean native v8natives.js:781"
code-creation,LazyCompile,0x58cb20,664,"SetupNumber native v8natives.js:899"
code-creation,LazyCompile,0x58cea0,1289,"NewFunction native v8natives.js:977"
code-creation,LazyCompile,0x58d480,153,"SetupFunction native v8natives.js:1006"
code-creation,LazyCompile,0x58d580,234," native v8natives.js:185"
code-creation,LazyCompile,0x58d6c0,275," native v8natives.js:710"
code-creation,LazyCompile,0x58d840,259," native v8natives.js:795"
code-creation,Script,0x58d9a0,161,"native uri.js"
code-creation,LazyCompile,0x58daa0,245,"SetupURI native uri.js:401"
code-creation,Script,0x58dc00,179,"native apinatives.js"
code-creation,Script,0x58dd20,469,"native runtime.js"
code-creation,LazyCompile,0x58e100,1302,"EQUALS native runtime.js:54"
code-creation,LazyCompile,0x58e6e0,290,"STRICT_EQUALS native runtime.js:96"
code-creation,LazyCompile,0x58e860,825,"COMPARE native runtime.js:116"
code-creation,LazyCompile,0x58ec40,513,"ADD native runtime.js:155"
code-creation,LazyCompile,0x58eec0,381,"STRING_ADD_LEFT native runtime.js:175"
code-creation,LazyCompile,0x58f0a0,398,"STRING_ADD_RIGHT native runtime.js:190"
code-creation,LazyCompile,0x58f2a0,228,"SUB native runtime.js:206"
code-creation,LazyCompile,0x58f3e0,228,"MUL native runtime.js:214"
code-creation,LazyCompile,0x58f520,228,"DIV native runtime.js:222"
code-creation,LazyCompile,0x58f660,228,"MOD native runtime.js:230"
code-creation,LazyCompile,0x58f7a0,228,"BIT_OR native runtime.js:244"
code-creation,LazyCompile,0x58f8e0,380,"BIT_AND native runtime.js:252"
code-creation,LazyCompile,0x58fac0,228,"BIT_XOR native runtime.js:274"
code-creation,LazyCompile,0x58fc00,154,"UNARY_MINUS native runtime.js:282"
code-creation,LazyCompile,0x58fce0,154,"BIT_NOT native runtime.js:289"
code-creation,LazyCompile,0x58fdc0,228,"SHL native runtime.js:296"
code-creation,LazyCompile,0x590100,380,"SAR native runtime.js:304"
code-creation,LazyCompile,0x5902e0,228,"SHR native runtime.js:326"
code-creation,LazyCompile,0x590420,130,"DELETE native runtime.js:340"
code-creation,LazyCompile,0x5904e0,458,"IN native runtime.js:346"
code-creation,LazyCompile,0x590700,681,"INSTANCE_OF native runtime.js:358"
code-creation,LazyCompile,0x590a40,84,"GET_KEYS native runtime.js:382"
code-creation,LazyCompile,0x590ae0,193,"FILTER_KEY native runtime.js:390"
code-creation,LazyCompile,0x590c00,566,"CALL_NON_FUNCTION native runtime.js:397"
code-creation,LazyCompile,0x591000,566,"CALL_NON_FUNCTION_AS_CONSTRUCTOR native runtime.js:406"
code-creation,LazyCompile,0x5912a0,1230,"APPLY_PREPARE native runtime.js:415"
code-creation,LazyCompile,0x591820,189,"APPLY_OVERFLOW native runtime.js:451"
code-creation,LazyCompile,0x591920,89,"TO_OBJECT native runtime.js:457"
code-creation,LazyCompile,0x5919c0,89,"TO_NUMBER native runtime.js:463"
code-creation,LazyCompile,0x591a60,89,"TO_STRING native runtime.js:469"
code-creation,LazyCompile,0x591b00,500,"ToBoolean native runtime.js:493"
code-creation,LazyCompile,0x591d60,384,"ToNumber native runtime.js:503"
code-creation,LazyCompile,0x592100,374,"ToString native runtime.js:513"
code-creation,LazyCompile,0x5922e0,412,"ToObject native runtime.js:530"
code-creation,Script,0x5924e0,169,"native array.js"
code-creation,LazyCompile,0x5925e0,1487,"SetupArray native array.js:1072"
code-creation,LazyCompile,0x592d00,262,"getFunction native array.js:1084"
code-creation,Script,0x592e60,424,"native math.js"
code-creation,LazyCompile,0x5930a0,70,"MathConstructor native math.js:38"
code-creation,LazyCompile,0x593120,883,"SetupMath native math.js:198"
code-creation,Script,0x594100,2611,"native messages.js"
code-creation,LazyCompile,0x594e80,219,"MakeGenericError native messages.js:106"
code-creation,LazyCompile,0x594fc0,105,"MakeRangeError native messages.js:231"
code-creation,LazyCompile,0x595080,316,"DefineOneShotAccessor native messages.js:626"
code-creation,LazyCompile,0x595260,298," native messages.js:632"
code-creation,LazyCompile,0x5953e0,185," native messages.js:640"
code-creation,LazyCompile,0x5954e0,627,"DefineError native messages.js:896"
code-creation,LazyCompile,0x595820,70,"ErrorPrototype native messages.js:912"
code-creation,LazyCompile,0x5958a0,347," native messages.js:922"
code-creation,LazyCompile,0x595a60,184," native messages.js:925"
code-creation,LazyCompile,0x595b60,635,"captureStackTrace native messages.js:938"
code-creation,LazyCompile,0x595e60,93," native messages.js:945"
code-creation,LazyCompile,0x595f00,124," native messages.js:122"
code-creation,LazyCompile,0x5958a0,347,"Error"
code-creation,LazyCompile,0x5958a0,347,"TypeError"
code-creation,LazyCompile,0x5958a0,347,"RangeError"
code-creation,LazyCompile,0x5958a0,347,"SyntaxError"
code-creation,LazyCompile,0x5958a0,347,"ReferenceError"
code-creation,LazyCompile,0x5958a0,347,"EvalError"
tick,0x972c429a,0xbfffeb7c,0x0,4
code-creation,LazyCompile,0x5958a0,347,"URIError"
code-creation,Script,0x596100,1054,"native date.js"
code-creation,LazyCompile,0x596640,267,"TimeClip native date.js:365"
code-creation,LazyCompile,0x5967c0,1231,"SetupDate native date.js:1065"
code-creation,LazyCompile,0x596dc0,1946," native date.js:385"
code-creation,LazyCompile,0x5976c0,45,""
code-creation,LazyCompile,0x5976c0,45,""
code-creation,LazyCompile,0x595f00,124,"Script"
code-creation,LazyCompile,0x597900,45,"concat"
code-creation,LazyCompile,0x5978c0,45,"splice"
code-creation,LazyCompile,0x597800,45,"shift"
code-creation,LazyCompile,0x597840,45,"unshift"
code-creation,LazyCompile,0x5977c0,45,"pop"
code-creation,LazyCompile,0x597780,45,"push"
code-creation,LazyCompile,0x597880,45,"slice"
code-creation,LazyCompile,0x5996a0,394,"Array"
code-creation,LazyCompile,0x588d80,247,"RegExp"
code-creation,LazyCompile,0x596dc0,1946,"Date"
code-creation,LazyCompile,0x5976c0,45,"JSON"
code-creation,LazyCompile,0x58d840,259,"Number"
code-creation,LazyCompile,0x5976c0,45,"OpaqueReference"
code-creation,LazyCompile,0x5976c0,45,""
code-creation,LazyCompile,0x58d580,234,"Boolean"
code-creation,LazyCompile,0x588940,312,"String"
code-creation,LazyCompile,0x58cea0,1289,"Function"
code-creation,LazyCompile,0x5976c0,45,""
code-creation,LazyCompile,0x58d6c0,275,"Object"
code-creation,LazyCompile,0x599560,291,"call"
code-creation,LazyCompile,0x590ea0,313,"apply"
code-creation,LazyCompile,0x597700,45,"Empty"
code-creation,LazyCompile,0x5976c0,45,"Arguments"
code-creation,LazyCompile,0x597a00,45,""
code-creation,LazyCompile,0x597a40,45,""
code-creation,LazyCompile,0x5976c0,45,""
code-creation,LazyCompile,0x59a100,755,"Instantiate native apinatives.js:44"
function-creation,0x560424,0x59a100
code-creation,CallPreMonomorphic,0x59a480,154,"args_count: 2"
tick,0x132fb0,0xbfffe8cc,0x0,0,0x59a2ad
code-creation,Stub,0x59a520,153,"FastNewContextStub"
code-creation,LazyCompile,0x59a5c0,2759,"InstantiateFunction native apinatives.js:62"
function-creation,0x560a0c,0x59a5c0
code-creation,Stub,0x59b200,396,"GenericBinaryOpStub_ADD_Alloc_NoSmiInStub_RegArgs_R_UnknownType_Default"
code-creation,LazyCompile,0x59b3a0,1258,"ConfigureTemplateInstance native apinatives.js:93"
function-creation,0x55e3b4,0x59b3a0
code-creation,CallIC,0x59b960,89,"InstantiateFunction"
code-creation,LoadIC,0x59b9c0,61,"kApiFunctionCache"
code-creation,CallIC,0x59ba00,89,"ConfigureTemplateInstance"
code-creation,CallIC,0x59ba60,112,"Instantiate"
code-creation,CallIC,0x59bae0,89,"Instantiate"
tick,0x17d255,0xbfffe790,0x0,2
code-creation,Script,0x59bb40,99,"node.js"
code-creation,Stub,0x59bbe0,147,"FastNewContextStub"
code-creation,Function,0x59bc80,126," node.js:10"
code-creation,Function,0x59bd40,135,"removed node.js:9"
code-creation,Stub,0x59be20,135,"FastNewContextStub"
code-creation,Function,0x59bec0,114,"timer.callback node.js:117"
code-creation,Function,0x59c100,499,"addTimerListener node.js:112"
code-creation,Stub,0x59c380,131,"CallFunction"
code-creation,Function,0x59c420,316,"process.assert node.js:28"
code-creation,Function,0x59c5c0,627,"process.evalcx node.js:33"
code-creation,CallInitialize,0x59c8c0,154,"args_count: 0"
code-creation,Stub,0x59c960,128,"CallFunction"
code-creation,Stub,0x59ca00,294,"GenericBinaryOpStub_SUB_Alloc_RegArgs_NumberType_Default"
code-creation,Function,0x59cb40,342,"process._tickCallback node.js:46"
code-creation,Function,0x59cd00,114,"process.nextTick node.js:52"
code-creation,Stub,0x59cdc0,132,"FastNewContextStub"
code-creation,Function,0x59ce60,156,"isSignal node.js:73"
tick,0x1b48fb,0xbfffd110,0x0,2
code-creation,Function,0x59cf40,119,"w.callback node.js:84"
code-creation,Function,0x59d000,812,"process.addListener node.js:78"
code-creation,Function,0x59d400,1035,"process.removeListener node.js:97"
code-creation,Function,0x59d8a0,380," node.js:68"
code-creation,Function,0x59daa0,547,"global.setTimeout node.js:123"
code-creation,Function,0x59e100,632,"global.setInterval node.js:130"
code-creation,Stub,0x59e400,356,"Instanceof"
code-creation,Function,0x59e580,124,"global.clearTimeout node.js:137"
code-creation,Function,0x59e640,611," node.js:146"
code-creation,Function,0x59e940,632,"process.openStdin node.js:169"
code-creation,Function,0x59ec60,119,"process.exit node.js:190"
code-creation,LazyCompile,0x59ed20,1934," node.js:1"
function-creation,0x547e68,0x59ed20
tick,0x97296f34,0xbfffea4c,0x0,3,0x4930,0x59f221
tick,0xc0635,0xbfffe990,0x0,3,0x4930,0x59f221
tick,0x1e1239,0xbfffd820,0x32b747,2,0x59f274
code-creation,Script,0x59f720,99,"module"
tick,0x208fa0,0xbfffda6c,0x0,2,0x59f28b
code-creation,Stub,0x59f7c0,171,"FastNewContextStub"
code-creation,Function,0x59f880,442,"Module module:8"
code-creation,Function,0x59fae0,187,"createInternalModule module:26"
code-creation,Function,0x59fc00,283,"loadNative module:39"
code-creation,Function,0x59fd80,389,"requireNative module:48"
code-creation,Function,0x5a0100,242,"debug module:67"
code-creation,Function,0x5a0240,487,"existsSync module:78"
code-creation,Stub,0x5a04a0,141,"FastNewContextStub"
code-creation,Function,0x5a0540,215," module:156"
code-creation,Function,0x5a0660,594,"searchLocations module:148"
code-creation,Stub,0x5a0940,165,"FastCloneShallowArrayStub"
code-creation,Stub,0x5a0a00,484,"GenericBinaryOpStub_ADD_Alloc_RegArgs_UnknownType_Default"
code-creation,CallInitialize,0x5a0c00,154,"args_count: 3"
code-creation,Stub,0x5a0ca0,454,"GenericBinaryOpStub_ADD_Alloc_RegArgs_R_NumberType_Default"
code-creation,Function,0x5a0e80,2514,"findModulePath module:101"
tick,0x20b613,0xbfffda94,0x0,2,0x59f28b
code-creation,Function,0x5896e0,1533,"resolveModulePath module:178"
code-creation,Function,0x5a1a00,335," module:247"
code-creation,Function,0x5935a0,1423,"loadModule module:205"
code-creation,Function,0x5a1bc0,401,"registerExtension module:274"
code-creation,Function,0x5a1de0,273," module:334"
code-creation,Function,0x59dd40,475,"cat module:332"
code-creation,Stub,0x5a1f40,131,"CallFunction"
code-creation,Function,0x587de0,406,"Module.loadSync module:287"
code-creation,Function,0x593c40,414,"Module.load module:301"
code-creation,Function,0x58ff00,139,"Module._loadObjectSync module:316"
code-creation,Function,0x593e60,260,"Module._loadObject module:322"
code-creation,Function,0x591f40,116,"requireAsync module:359"
code-creation,Function,0x58bf60,107,"require module:363"
code-creation,Stub,0x589e00,193,"CallFunction"
code-creation,Stub,0x589ee0,171,"FastCloneShallowArrayStub"
code-creation,Function,0x640100,1221,"Module._compile module:348"
code-creation,Function,0x6406e0,271,"Module._loadScriptSync module:391"
code-creation,Function,0x640860,315," module:413"
code-creation,Function,0x640a00,516," module:404"
code-creation,Function,0x640c80,287,"Module._loadScript module:402"
code-creation,Function,0x640e00,375,"child.onload module:432"
code-creation,Function,0x640fe0,1229,"Module._waitChildrenLoad module:424"
code-creation,Function,0x641580,921,"exports.runMain module:445"
tick,0x1e6941,0xbfffe828,0x322a0b,2,0x59f28b
code-creation,LazyCompile,0x642100,3368," module:1"
function-creation,0x54df30,0x642100
code-creation,Script,0x643160,99,"events"
code-creation,LazyCompile,0x643200,970," events:1"
function-creation,0x558a04,0x643200
code-creation,StoreIC,0x6436e0,118,"loaded"
code-creation,KeyedStoreIC,0x643760,95,"events"
code-creation,Stub,0x6437e0,273,"CompareStub_LT_NO_NUMBER"
code-creation,Stub,0x643900,305,"GenericBinaryOpStub_SAR_Alloc_NoSmiInStub_StackArgs_UnknownType_Default"
code-creation,Stub,0x643a40,305,"GenericBinaryOpStub_BIT_OR_Alloc_NoSmiInStub_StackArgs_UnknownType_Default"
code-creation,LazyCompile,0x643b80,1005,"parseInt native v8natives.js:94"
function-creation,0x55aca4,0x643b80
tick,0xc32c0,0xbfffe4e0,0x0,1
code-creation,Script,0x644100,99,"path"
code-creation,StoreIC,0x6441a0,125,"id"
code-creation,StoreIC,0x644240,125,"exports"
code-creation,StoreIC,0x6442e0,125,"parent"
code-creation,StoreIC,0x644380,125,"moduleCache"
code-creation,LoadIC,0x644420,62,"moduleCache"
code-creation,LoadIC,0x644460,62,"id"
code-creation,StoreIC,0x6444a0,125,"filename"
code-creation,StoreIC,0x644540,125,"loaded"
code-creation,StoreIC,0x6445e0,125,"exited"
code-creation,StoreIC,0x644680,125,"children"
code-creation,LoadIC,0x644720,62,"exports"
code-creation,Function,0x644760,183,"exports.join path:2"
tick,0xffff07c7,0xbfffd9e0,0x2dc02,2,0x59fb53,0x6426b2,0x59f28b
code-creation,Stub,0x644860,186,"GenericBinaryOpStub_SUB_Alloc_NoSmiInStub_RegArgs_UnknownType_Default"
code-creation,Function,0x644920,2440,"exports.normalizeArray path:6"
code-creation,Function,0x6453e0,131,"exports.normalize path:36"
code-creation,Function,0x6454c0,382,"exports.dirname path:40"
code-creation,Function,0x6456a0,124,"exports.filename path:57"
code-creation,Stub,0x645760,325,"GenericBinaryOpStub_SUB_Alloc_RegArgs_UnknownType_Default"
code-creation,Stub,0x6458c0,186,"GenericBinaryOpStub_MUL_Alloc_NoSmiInStub_RegArgs_UnknownType_Default"
code-creation,Function,0x645980,705,"exports.basename path:60"
code-creation,Function,0x645cc0,236,"exports.extname path:68"
code-creation,Function,0x645e00,278," path:74"
code-creation,Function,0x646100,192,"exports.exists path:73"
code-creation,LazyCompile,0x646220,384," path:1"
function-creation,0x558d50,0x646220
code-creation,CallPreMonomorphic,0x646460,154,"args_count: 3"
code-creation,CallInitialize,0x646500,154,"args_count: 4"
code-creation,Stub,0x6465a0,256,"GenericBinaryOpStub_SHR_Alloc_NoSmiInStub_StackArgs_UnknownType_Default"
code-creation,LazyCompile,0x6466c0,341,"join native array.js:361"
function-creation,0x55ad68,0x6466c0
code-creation,CallPreMonomorphic,0x646880,154,"args_count: 4"
code-creation,Stub,0x646920,305,"GenericBinaryOpStub_SHL_Alloc_NoSmiInStub_StackArgs_UnknownType_Default"
code-creation,LazyCompile,0x646a60,3789,"Join native array.js:100"
function-creation,0x55e294,0x646a60
